,P1,P10,P11,P12,P13,P14,P20,P25,P19,P24,P28,P33,P38,P39,P37,P32,P34,P35,P36,P26,P15,P21,P22,P23,P27,P17,P16,P6,P7,P8,P18,P9,P5,P4,P3,P2,P29,P30,P31,P40,PUMP_1,PUMP_2,V2,V1,sum,percent,category
Flow (ref_sim),1.9548058398067951,1.3152123568579555,1.0054500452242792,0.7017301598098129,0.09227071993518621,0.03920428580022417,0.012903360195196,0.04271833982056705,0.012750113685342512,0.1316833768505603,0.29022137075662613,0.0386943890589464,0.06044930059579201,0.04907528632611502,0.10471493314253166,0.03728746631531976,0.026503904489800334,0.026503795066673774,1.1318593462483761e-07,0.12870405015752884,0.43936229893006384,0.18226415634853765,0.16055651443821262,0.06651140562735236,0.08505045081255957,0.11929840088123456,0.1181409889832139,0.04102501930901781,0.0338251814537216,0.029049826247501187,0.47088501835241914,0.049486565636470914,0.049486565636470914,0.11079452408012003,0.15911278239218518,0.20023120113182813,0.021754931960458634,0.021754910696472507,0.0,35.941792607307434,9.98324829339981,27.913349866867065,0.0,0.0,82.26786471757333,100,CAT-1
Flow (R1),6.63370706352473e-08,0.22208014607895166,0.4675078643485904,0.6325613628141582,0.15066051960457116,0.10356619220692664,0.14441709633683786,0.18548881576862186,0.2686870046891272,0.8480530716478825,0.07146845618262887,0.4473448519129306,0.15046980610350147,0.040945223008748144,0.08458649925887585,0.1817653070902452,0.0433882346842438,0.043388281716033816,4.0969460074480324e-08,0.12870404503890628,0.22004517540335655,0.040088385769195156,0.11079594725742936,0.14585296530276537,0.12931952357757837,0.03568515510414727,0.06619817262981087,0.02863324219651986,0.05014234597911127,0.06724230793770403,0.6586677292361856,0.10659185837721452,0.10659185837721452,0.0834763830062002,0.05147529058740474,0.0253904789860826,1.3569911532104015,0.5978146572597325,1.954805794171989,37.53581643104553,9.924789518117905,27.611029148101807,0.0,1.9548058100044727,87.07733221743807,105.85,CAT-1
Flow (T1),1.954805800691247,1.3152123158797622,1.005450010765344,0.7017301195301116,0.09227071650093421,0.039204284046718385,0.012903360951895593,0.0427183405845426,0.012750120517466712,0.13168336192029528,0.2902213443303481,0.038694413740813616,0.060449299053288996,0.04907528804324102,0.10471491195494309,0.03728743261308409,0.026503860535740387,0.026503815410251264,6.64044052245405e-08,0.12870406626922237,0.43936229730024934,0.1822641538165044,0.16055650510134,0.06651140460598981,0.08505044030607678,0.11929839622462168,0.11814098665490746,0.04102501903253142,0.03382518242869992,0.029049828139250167,0.470884979236871,0.04948656202759594,0.04948656202759594,0.11079451651312411,0.15911277290433645,0.20023119798861444,0.021754906028945697,0.021754884954134468,0.0,35.941792488098145,9.98324829339981,27.913349866867065,1.0864973848390136e-07,0.0,82.2678642820498,100.0,CAT-1
Flow (T2),1.9548058919608593,1.3152087684720755,1.0054287239909172,0.7016815866809338,0.09227186141652055,0.03922334637900349,0.012880967165983748,0.04269927972200094,0.012761260416027653,0.13163912674644962,0.2902876135194674,0.038737452661735006,0.06045524185174145,0.049069346583564766,0.10471178404986858,0.037313790642656386,0.026501112995902076,0.02650100316532189,1.0724490184799151e-07,0.12870406205191567,0.43936804705299437,0.18227158347144723,0.16056984764509252,0.0665277731113747,0.08502133426372893,0.11932994949165732,0.11815416789613664,0.04102957749273628,0.03382086277269991,0.02905773407110246,0.4708274113945663,0.049492598918732256,0.049492598918732256,0.11079264705767855,0.15911522455280647,0.20022908854298294,0.021717853102018125,0.021717787465604488,7.456843492681386e-08,35.941792368888855,9.98324829339981,27.913349866867065,0.0,1.0623529639319784e-07,82.2678091248994,100.0,CAT-1
Flow (PUMP_1),1.648085216525942,1.0996063272468746,0.8252355803269893,0.5634940145755536,0.08326527664758032,0.03525963289575884,0.037809614004800096,0.0705030226308736,0.07369676072266884,0.21908286941470578,0.2464686747844098,0.10550826638791477,0.07536495066597126,0.049873043011757545,0.10505187354283407,0.07800852137734182,0.02515860843413975,0.025158572701911908,7.175713701013109e-08,0.128704074956346,0.38154295571439434,0.14878788124769926,0.12363628357343259,0.050958661842742004,0.06972932901408058,0.09659481400740333,0.10329565472784452,0.03978897585238883,0.03944998719089199,0.039333696200628765,0.36353516549570486,0.03961995441932231,0.03961995441932231,0.08881579124135897,0.13119647515850374,0.1698917785543017,0.3531357664760435,0.16300552122993395,0.49952364277565403,26.08851784467697,1.9934948086738586,29.537294507026672,0.0,0.49952363467309624,66.55562805680376,80.9,CAT-2
Flow (PUMP_2),2.035544472746551,1.420680436764087,1.2099130554124713,0.9855837502982467,0.17193664339720272,0.08642124394100392,0.10622410293581197,0.13883746744977543,0.19311746938365104,0.6330471741093788,0.3390094777569175,0.32535642633229145,0.1267959709803108,0.08456648435094394,0.1095295790291857,0.1519548752112314,0.043971185263217194,0.043971187973511405,6.634609861499996e-09,0.12870405230900211,0.4055928257293999,0.19919871975434944,0.20866971647228638,0.14294519553368445,0.15129319722473156,0.1398425002262229,0.10352661926299334,0.038841446439619176,0.049878765508765355,0.058861600067757536,0.7732453143689781,0.10278820010717027,0.10278820010717027,0.15098642482189462,0.19015214388491586,0.21634182066190988,0.9651493113051401,0.4371123574383091,1.3849786340338515,9.326996386051178,10.609524816274643,0.7127012647688389,0.0,1.3849786249920726,36.19155914731528,43.99,CAT-4
Flow (V2),2.6736022047698498,1.8632108345627785,1.5236789267510176,1.1533645000308752,0.14163455681409687,0.0639801956131123,0.028772995254257694,0.04776323042460717,0.06009162850386929,0.15640600165352225,0.7607431393116713,0.05370169537491165,0.1208911556750536,0.07209125937424687,0.3552910750731826,0.31788725740625523,0.45751376359839924,0.3118587280041538,0.7672416111454368,0.12870408138658695,0.5305971298366785,0.27046354254707694,0.279436806216836,0.1279850547434762,0.22255758149549365,0.19979722308926284,0.14587898855097592,0.043056617651018314,0.03510473924688995,0.039847944310167804,0.9041649047285318,0.08616753108799458,0.08616753108799458,0.17848485568538308,0.2407074144575745,0.27979423478245735,0.13369231880642474,0.13369230489479378,0.0,35.35448408126831,10.004530847072601,28.023555517196655,0.7672416111454368,0.0,89.14583762062992,108.36,CAT-1
Flow (V1),2.4067936316132545,1.660156786441803,1.3355701752007008,0.9994583427906036,0.15154865849763155,0.0681684966548346,0.03391344301417121,0.05060801235231338,0.07090133970996249,0.3333870549686253,0.39019508147612214,0.168295937939547,0.06057485246856231,0.07391642313450575,0.12040940311271697,0.053967648767866194,0.03565056761726737,0.03565045970026404,1.1112055930961873e-07,0.1287040639808646,0.4962495192885399,0.2361159478314221,0.22989032976329327,0.1191771652083844,0.1386367343366146,0.15661495830863714,0.13068011589348316,0.043310188193572685,0.03177775074072997,0.028149088742793538,0.7194057814776897,0.08693269407376647,0.08693269407376647,0.15831115189939737,0.21155403088778257,0.25038728257641196,0.3528443300165236,0.16409253943129443,0.5143554075621068,35.57296180725098,9.996717423200607,27.983038306236267,0.0,0.5143554075621068,86.40036114511835,105.02,CAT-1
Flow (P1),0.0,0.2220800892682746,0.4675078159198165,0.6325613199733198,0.15066051040776074,0.10356618405785412,0.1444170888280496,0.18548881041351706,0.2686869950266555,0.8480530339293182,0.07146844174712896,0.4473448311910033,0.15046980325132608,0.04094521878869273,0.08458650024840608,0.18176530220080167,0.04338823171565309,0.04338827877654694,4.0969460074480324e-08,0.12870405778145344,0.2200451750541106,0.04008837599030812,0.110795937362127,0.1458529542433098,0.1293195135658607,0.03568514730432071,0.06619817193131894,0.028633241818170063,0.050142344349296764,0.06724230709369294,0.6586676952429116,0.10659185418626294,0.10659185418626294,0.08347637607948855,0.051475281099556014,0.025390480557689443,1.3569911047816277,0.597814635373652,1.9548057243227959,37.53581643104553,9.924789518117905,27.611029148101807,0.0,1.9548057317733765,87.07733155807642,105.85,CAT-1
Flow (P10),1.8349458388984203,0.0,0.49078437918797135,0.47083208058029413,0.07072970172157511,0.034240413195220754,0.015101624030648964,0.04768221117410576,0.028275476134695054,0.0938345135509735,0.24396367848385125,0.03540911900199717,0.06096636282745749,0.04855822531681042,0.10321627772646025,0.018389431949344726,0.027485485712531954,0.027485387603519484,1.0242976622443223e-07,0.12870405533066434,1.058057876303792,0.7979243288282305,0.3367608463158831,0.09518997184932232,0.10553973686182871,0.007943160691866069,0.3242577372584492,0.3171229499857873,0.12330426002154127,0.031540833922917955,0.3221186308655888,0.05027525464538485,0.05027525464538485,0.17217386921402067,0.3776215703692287,0.776887979824096,0.08826105279604235,0.047910194711221266,0.11985999358968069,36.04008746147156,9.979764729738235,27.89526879787445,0.0,0.11985998880118132,83.018610845442,100.91,CAT-1
