,J6,J7,J8,J9,J10,J1,J2,J3,J4,J13,J14,J15,J21,J22,J23,J16,J12,J24,J25,J5,J11,J17,J26,J27,J20,J18,J19,R1,T1,T2,sum,percent,category
Head (ref_sim),1228.7967376708984,1227.8679580688477,1227.3025588989258,1227.0121955871582,1226.8138580322266,1227.797378540039,1227.2532043457031,1226.9749908447266,1226.912540435791,1227.5549964904785,1226.984691619873,1226.8737106323242,1226.8118057250977,1226.8169860839844,1226.8113174438477,1226.820156097412,1228.2775688171387,1226.8018836975098,1108.71000289917,1141.068588256836,1226.7695274353027,1226.7698249816895,1226.782081604004,1226.7202262878418,1228.164836883545,1226.8190803527832,1203.9600372314453,1143.0000305175781,1108.71000289917,1203.9600372314453,36361.91881561279,100,CAT-1
Demand (ref_sim),0.0,0.1505963082308881,0.1505963082308881,0.10952458769315854,0.1150008158874698,0.08214344002772123,0.08214344002772123,0.09035778424004093,0.0,0.13690573745407164,0.12869139364920557,0.1150008158874698,0.09583401345298626,0.10952458769315854,0.0,0.05476229384657927,0.13142950413748622,0.0,0.0,0.0,0.0408509045955725,0.04107172001386061,0.08214344002772123,0.10952458769315854,0.12870400864630938,0.0,0.0,-1.9548058398067951,1.1318593462483761e-07,0.0,-3.518539304359081e-08,100,CAT-1
Pressure (ref_sim),1038.2966957092285,1052.607894897461,1052.0425071716309,1017.4621391296387,990.5938034057617,1075.397315979004,1059.6131782531738,1044.094898223877,998.3124732971191,1014.194953918457,998.3846244812012,998.2736587524414,960.1117477416992,944.876953125,1226.8112678527832,975.3600997924805,1060.6375122070312,944.8618392944336,826.7699241638184,950.5685539245605,960.0694847106934,960.0698127746582,960.0820388793945,948.5901718139648,885.2647972106934,922.0190315246582,899.1599082946777,0.0,102.86998748779297,220.97997665405273,27088.377250671387,100,CAT-1
Head (Res_R1),1158.710765838623,1158.7484283447266,1158.8883895874023,1159.1296882629395,1159.6307334899902,1158.7121810913086,1158.7870025634766,1158.9557037353516,1159.2173767089844,1158.6367301940918,1158.9235649108887,1159.3878173828125,1159.2956275939941,1159.392318725586,1159.9034233093262,1161.060749053955,1158.5495338439941,1159.3199882507324,1108.71000289917,1063.67972946167,1159.8915405273438,1160.3422927856445,1159.3686256408691,1159.4133834838867,1158.4367866516113,1163.054786682129,1163.054817199707,1063.67972946167,1108.71000289917,1167.7603492736816,34501.352069854736,94.88,CAT-1
Demand (Res_R1),0.0,0.1505963082308881,0.1505963082308881,0.10952458769315854,0.1150008158874698,0.08214344002772123,0.08214344002772123,0.09035778424004093,0.0,0.13690573745407164,0.12869139364920557,0.1150008158874698,0.09583401345298626,0.10952458769315854,0.0,0.05476229384657927,0.13142950413748622,0.0,0.0,0.0,0.0408509045955725,0.04107172001386061,0.08214344002772123,0.10952458769315854,0.12870400864630938,0.0,0.0,0.0,4.0969460074480324e-08,-1.954805794171989,-6.176706146554523e-08,175.55,CAT-1
Pressure (Res_R1),968.2107162475586,983.4883728027344,983.6283226013184,949.579647064209,923.4106864929199,1006.3121376037598,991.1469497680664,976.0756530761719,930.6173210144043,945.2766952514648,930.3235054016113,930.787769317627,892.5955963134766,877.452262878418,1159.903377532959,909.6006927490234,990.9094848632812,877.3799438476562,826.7699241638184,873.1796951293945,893.1914863586426,893.6422500610352,892.668586730957,881.2833366394043,815.536750793457,858.2547340393066,858.254768371582,873.1796951293945,102.86998748779297,184.78033018112183,26180.310679912567,96.65,CAT-1
Head (Tan_T1),1228.7967376708984,1227.867961883545,1227.3025588989258,1227.0121955871582,1226.8138580322266,1227.797378540039,1227.2532043457031,1226.9749908447266,1226.912540435791,1227.5549964904785,1226.9846954345703,1226.8737106323242,1226.811809539795,1226.8169860839844,1226.8113174438477,1226.820156097412,1228.2775688171387,1226.801887512207,1226.801887512207,1141.068588256836,1226.7695274353027,1226.769832611084,1226.782081604004,1226.720230102539,1228.164836883545,1226.8190803527832,1203.9600372314453,1143.0000305175781,1226.801887512207,1203.9600372314453,36598.10261154175,100.65,CAT-1
Head (Tan_T2),1228.7967376708984,1227.8679656982422,1227.302577972412,1227.0122146606445,1226.8138961791992,1227.7973861694336,1227.2532234191895,1226.9750175476074,1226.9125633239746,1227.5549850463867,1226.9846801757812,1226.8737411499023,1226.811824798584,1226.8170127868652,1226.8113479614258,1226.8201866149902,1228.277572631836,1226.8019104003906,1108.71000289917,1141.068588256836,1226.7695693969727,1226.7698783874512,1226.7821006774902,1226.72025680542,1228.1648330688477,1226.8191146850586,1226.8191146850586,1143.0000305175781,1108.71000289917,1226.8191146850586,36407.637451171875,100.13,CAT-1
Demand (Tan_T1),0.0,0.1505963082308881,0.1505963082308881,0.10952458769315854,0.1150008158874698,0.08214344002772123,0.08214344002772123,0.09035778424004093,0.0,0.13690573745407164,0.12869139364920557,0.1150008158874698,0.09583401345298626,0.10952458769315854,0.0,0.05476229384657927,0.13142950413748622,0.0,0.0,0.0,0.0408509045955725,0.04107172001386061,0.08214344002772123,0.10952458769315854,0.12870400864630938,0.0,0.0,-1.954805800691247,0.0,0.0,-1.0925577953457832e-07,310.51,CAT-1
Demand (Tan_T2),0.0,0.1505963082308881,0.1505963082308881,0.10952458769315854,0.1150008158874698,0.08214344002772123,0.08214344002772123,0.09035778424004093,0.0,0.13690573745407164,0.12869139364920557,0.1150008158874698,0.09583401345298626,0.10952458769315854,0.0,0.05476229384657927,0.13142950413748622,0.0,0.0,0.0,0.0408509045955725,0.04107172001386061,0.08214344002772123,0.10952458769315854,0.12870400864630938,0.0,0.0,-1.9548058919608593,1.0724490184799151e-07,0.0,-9.32804899989037e-08,265.11,CAT-1
